date,ticker,reason,confidence,proba
2025-01-02,TSLA,LOW_CONFIDENCE,0.635,
2025-01-03,TSLA,LOW_PROBA,,0.6076666666666667
2025-01-06,TSLA,LOW_PROBA,,0.6161666666666666
2025-01-28,MSFT,LOW_PROBA,,0.44073333333333325
2025-01-28,SPY,LOW_PROBA,,0.6192666666666666
2025-01-29,MSFT,LOW_PROBA,,0.42763333333333325
2025-01-30,MSFT,LOW_PROBA,,0.4158666666666666
2025-01-31,MSFT,LOW_PROBA,,0.4614
2025-02-03,MSFT,LOW_PROBA,,0.5644999999999999
2025-02-07,TSLA,LOW_CONFIDENCE,0.649,
2025-02-13,AAPL,LOW_CONFIDENCE,0.6095,
2025-02-14,AAPL,LOW_CONFIDENCE,0.5444,
2025-02-18,AAPL,LOW_PROBA,,0.5677333333333334
2025-02-19,AAPL,LOW_PROBA,,0.5640666666666667
2025-02-20,AAPL,LOW_PROBA,,0.5831666666666667
2025-02-24,NVDA,LOW_PROBA,,0.4108999999999999
2025-02-25,NVDA,LOW_PROBA,,0.4967999999999999
2025-02-26,NVDA,LOW_PROBA,,0.5774999999999999
2025-03-26,QQQ,LOW_CONFIDENCE,0.6237,
2025-03-27,QQQ,LOW_PROBA,,0.6027
2025-03-28,QQQ,LOW_PROBA,,0.6179000000000001
